artificial_bed_id,code,element_ID,system_ID,element_general_type,sys_gs_category,period,climate,underlying_ft,overlying_ft
28,S-N-m,54,1,levee,sandy system,Quaternary,icehouse,M,M
29,S-N-m,54,1,levee,sandy system,Quaternary,icehouse,M,M
31,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
32,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
33,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
34,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
35,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
36,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
37,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
38,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
39,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
40,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
41,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,S
42,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,S,M
43,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
44,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
45,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
46,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
47,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
48,S-N-l,52,1,channel,sandy system,Quaternary,icehouse,M,M
49,S-N-m,52,1,channel,sandy system,Quaternary,icehouse,M,M
50,S-N-m,42,1,channel,sandy system,Quaternary,icehouse,M,M
51,S-N-m,42,1,channel,sandy system,Quaternary,icehouse,M,M
52,S-N-m,42,1,channel,sandy system,Quaternary,icehouse,M,M
53,S-N-m,42,1,channel,sandy system,Quaternary,icehouse,M,M
55,S-N-m,68,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
56,S-N-m,68,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
57,S-N-m,68,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
58,S-N-m,68,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
59,S-F-x,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
60,S-N-m,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
61,S-N-x,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
62,S-F-l,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
63,S-N-l,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
64,S-N-l,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
65,S-N-l,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
66,S-N-l,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
67,S-N-l,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
68,S-N-l,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
69,S-N-m,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
70,S-N-m,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
71,S-N-m,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,S
72,S-N-m,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,S
73,S-N-m,2,1,terminal deposit,sandy system,Quaternary,icehouse,S,S
74,S-N-m,2,1,terminal deposit,sandy system,Quaternary,icehouse,S,M
75,S-N-m,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
76,S-N-m,3,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
77,S-N-m,3,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
78,S-N-l,3,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
79,S-N-l,3,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
80,S-N-m,2,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
82,S-N-m,76,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
83,S-N-x,76,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
84,S-N-l,76,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
85,S-F-l,76,1,terminal deposit,sandy system,Quaternary,icehouse,M,M
111,S-N-m,279,5,channel,gravelly-sand system,-,uncertain,M,G
112,sG-F-x,279,5,channel,gravelly-sand system,-,uncertain,S,G
113,G-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
114,gS-F-x,279,5,channel,gravelly-sand system,-,uncertain,G,G
115,gS-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,S
116,S-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
117,sG-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
118,gS-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
119,G-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
120,gS-N-m,279,5,channel,gravelly-sand system,-,uncertain,G,S
121,S-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
122,G-N-x,279,5,channel,gravelly-sand system,-,uncertain,S,S
123,S-N-l,279,5,channel,gravelly-sand system,-,uncertain,G,S
124,S-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,S
125,S-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
126,gS-F-m,279,5,channel,gravelly-sand system,-,uncertain,S,M
127,S-N-m,279,5,channel,gravelly-sand system,-,uncertain,M,M
128,S-F-x,279,5,channel,gravelly-sand system,-,uncertain,M,M
129,S-N-m,280,5,channel,gravelly-sand system,-,uncertain,M,M
130,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,M
131,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,M
132,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,G
133,sG-F-x,280,5,channel,gravelly-sand system,-,uncertain,S,M
134,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,M
135,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,M
136,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,M
137,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,S
138,S-N-m,280,5,channel,gravelly-sand system,-,uncertain,S,G
152,sG-F-m,282,5,channel,gravelly-sand system,-,uncertain,S,M
153,S-N-m,282,5,channel,gravelly-sand system,-,uncertain,M,S
154,S-N-m,282,5,channel,gravelly-sand system,-,uncertain,S,M
155,S-N-m,282,5,channel,gravelly-sand system,-,uncertain,M,S
169,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,M,S
170,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,S
171,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,S
172,S-F-m,283,5,channel,gravelly-sand system,-,uncertain,S,G
175,gS-N-x,284,5,channel,gravelly-sand system,-,uncertain,M,G
176,gS-N-x,284,5,channel,gravelly-sand system,-,uncertain,S,G
177,gS-F-x,284,5,channel,gravelly-sand system,-,uncertain,S,G
178,gS-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
179,gS-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
180,G-N-l,284,5,channel,gravelly-sand system,-,uncertain,S,G
181,G-N-l,284,5,channel,gravelly-sand system,-,uncertain,G,S
182,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,S
183,S-N-x,284,5,channel,gravelly-sand system,-,uncertain,S,S
201,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,G,S
202,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
203,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
204,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,G
205,gS-F-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
206,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
207,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,G
208,gS-F-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
209,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
210,S-F-x,286,5,channel,gravelly-sand system,-,uncertain,S,S
211,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,G
212,gS-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
213,gS-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
214,gS-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
215,gS-F-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
216,gS-F-x,287,5,channel,gravelly-sand system,-,uncertain,S,G
217,G-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
218,sG-N-m,287,5,channel,gravelly-sand system,-,uncertain,G,G
219,sG-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
220,G-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
298,gS-N-m,279,5,channel,gravelly-sand system,-,uncertain,M,G
299,sG-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
300,gS-F-m,279,5,channel,gravelly-sand system,-,uncertain,S,S
301,S-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
302,G-N-m,279,5,channel,gravelly-sand system,-,uncertain,S,G
303,G-N-m,279,5,channel,gravelly-sand system,-,uncertain,G,G
304,G-N-m,279,5,channel,gravelly-sand system,-,uncertain,G,M
305,G-N-m,279,5,channel,gravelly-sand system,-,uncertain,M,G
306,G-N-m,279,5,channel,gravelly-sand system,-,uncertain,G,G
307,G-N-m,279,5,channel,gravelly-sand system,-,uncertain,G,M
308,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,M
309,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,S
310,S-C-x,280,5,channel,gravelly-sand system,-,uncertain,S,M
311,S-N-l,280,5,channel,gravelly-sand system,-,uncertain,M,M
336,S-N-m,282,5,channel,gravelly-sand system,-,uncertain,S,S
337,S-N-m,282,5,channel,gravelly-sand system,-,uncertain,S,S
338,S-N-m,282,5,channel,gravelly-sand system,-,uncertain,S,M
352,gS-N-m,283,5,channel,gravelly-sand system,-,uncertain,M,G
353,G-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,G
354,G-N-m,283,5,channel,gravelly-sand system,-,uncertain,G,S
355,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,G,S
356,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,S
357,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,G
359,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,M,G
360,gS-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,G
361,sG-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
362,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
363,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,S
364,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,G
365,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
366,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,M
367,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,M,S
368,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,M
369,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,M,M
387,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,G,S
388,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
389,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,G
390,gS-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,G
391,sG-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,G
392,gS-F-m,286,5,channel,gravelly-sand system,-,uncertain,S,G
393,G-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,G
394,G-N-m,286,5,channel,gravelly-sand system,-,uncertain,G,G
395,sG-N-m,287,5,channel,gravelly-sand system,-,uncertain,G,G
396,G-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
397,gS-N-m,287,5,channel,gravelly-sand system,-,uncertain,G,G
398,gS-F-x,287,5,channel,gravelly-sand system,-,uncertain,S,G
399,gS-F-x,287,5,channel,gravelly-sand system,-,uncertain,S,G
400,G-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
401,G-N-m,287,5,channel,gravelly-sand system,-,uncertain,G,G
402,gS-N-m,287,5,channel,gravelly-sand system,-,uncertain,G,G
403,G-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
404,sG-F-m,287,5,channel,gravelly-sand system,-,uncertain,G,G
405,gS-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
406,G-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
407,G-N-m,287,5,channel,gravelly-sand system,-,uncertain,G,M
490,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,S,M
491,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
492,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
493,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
494,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
495,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
496,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
497,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
498,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
499,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
500,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
501,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
502,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
503,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
504,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
505,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
506,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
507,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
508,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
509,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
516,G-N-m,283,5,channel,gravelly-sand system,-,uncertain,M,S
517,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,G,S
518,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,G
519,gS-C-m,283,5,channel,gravelly-sand system,-,uncertain,S,G
522,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,M,G
523,sG-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,G
524,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
525,gS-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,G
526,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
527,gS-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,S
528,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
529,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,S
530,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,S
531,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,S
532,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,S
533,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
534,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,M
551,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,G,S
552,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
553,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
554,S-F-x,286,5,channel,gravelly-sand system,-,uncertain,S,S
555,S-F-x,286,5,channel,gravelly-sand system,-,uncertain,S,S
556,S-F-x,286,5,channel,gravelly-sand system,-,uncertain,S,S
557,S-F-x,286,5,channel,gravelly-sand system,-,uncertain,S,G
558,gS-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
559,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
560,S-F-x,286,5,channel,gravelly-sand system,-,uncertain,S,G
561,gS-F-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
562,sG-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
563,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
564,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
565,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
566,sG-F-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
567,gS-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,G
568,G-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,M
655,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
656,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
657,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
658,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
659,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
660,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
661,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
662,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
663,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
664,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
665,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
666,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
667,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
668,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
669,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
670,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
671,S-N-m,273,5,levee,gravelly-sand system,-,uncertain,M,M
672,S-N-l,273,5,levee,gravelly-sand system,-,uncertain,M,M
679,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,M,S
680,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,S
681,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,S
682,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,S
683,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,S
684,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,S
685,S-N-m,283,5,channel,gravelly-sand system,-,uncertain,S,G
687,sG-N-m,284,5,channel,gravelly-sand system,-,uncertain,M,G
688,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
689,G-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,G
690,sG-N-m,284,5,channel,gravelly-sand system,-,uncertain,G,S
691,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,S
692,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,G
693,gS-N-m,284,5,channel,gravelly-sand system,-,uncertain,S,M
694,S-N-m,284,5,channel,gravelly-sand system,-,uncertain,M,M
713,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,G,S
714,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
715,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
716,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
717,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
718,S-F-x,286,5,channel,gravelly-sand system,-,uncertain,S,S
719,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
720,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
721,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
722,S-F-x,286,5,channel,gravelly-sand system,-,uncertain,S,S
723,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
724,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
725,S-N-m,286,5,channel,gravelly-sand system,-,uncertain,S,S
726,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
727,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
728,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
729,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
730,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
731,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
732,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
733,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
734,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
735,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
736,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,S
737,S-N-m,287,5,channel,gravelly-sand system,-,uncertain,S,M
766,S-N-x,1393,2,channel,sandy system,Carboniferous,icehouse,S,S
767,S-N-m,1392,2,channel,sandy system,Carboniferous,icehouse,M,S
769,S-N-l,1392,2,channel,sandy system,Carboniferous,icehouse,M,M
770,S-N-x,1392,2,channel,sandy system,Carboniferous,icehouse,M,S
774,S-N-x,1391,2,channel,sandy system,Carboniferous,icehouse,S,S
775,S-N-x,1391,2,channel,sandy system,Carboniferous,icehouse,S,M
776,S-N-m,1391,2,channel,sandy system,Carboniferous,icehouse,M,S
778,S-N-m,1391,2,channel,sandy system,Carboniferous,icehouse,M,S
780,S-N-l,1391,2,channel,sandy system,Carboniferous,icehouse,S,S
781,S-N-l,1390,2,channel,sandy system,Carboniferous,icehouse,M,M
782,S-N-x,1390,2,channel,sandy system,Carboniferous,icehouse,M,S
783,S-N-l,1390,2,channel,sandy system,Carboniferous,icehouse,S,S
784,S-N-m,1390,2,channel,sandy system,Carboniferous,icehouse,S,S
785,S-N-m,1390,2,channel,sandy system,Carboniferous,icehouse,M,M
786,S-N-l,1390,2,channel,sandy system,Carboniferous,icehouse,M,M
787,S-N-l,1390,2,channel,sandy system,Carboniferous,icehouse,M,unknown
792,S-N-m,1397,2,terminal deposit,sandy system,Carboniferous,icehouse,M,M
793,S-N-x,1397,2,terminal deposit,sandy system,Carboniferous,icehouse,M,S
794,S-N-l,1397,2,terminal deposit,sandy system,Carboniferous,icehouse,M,M
795,S-N-m,1397,2,terminal deposit,sandy system,Carboniferous,icehouse,M,S
796,S-N-m,1397,2,terminal deposit,sandy system,Carboniferous,icehouse,S,unknown
797,S-N-l,1398,2,terminal deposit,sandy system,Carboniferous,icehouse,M,M
798,S-N-m,1398,2,terminal deposit,sandy system,Carboniferous,icehouse,M,S
799,S-N-l,1398,2,terminal deposit,sandy system,Carboniferous,icehouse,S,S
801,S-N-l,1399,2,terminal deposit,sandy system,Carboniferous,icehouse,M,M
802,S-N-l,1399,2,terminal deposit,sandy system,Carboniferous,icehouse,M,M
803,S-N-m,1399,2,terminal deposit,sandy system,Carboniferous,icehouse,M,M
804,S-N-x,1399,2,terminal deposit,sandy system,Carboniferous,icehouse,M,S
806,S-N-l,1400,2,terminal deposit,sandy system,Carboniferous,icehouse,S,M
807,S-N-l,1400,2,terminal deposit,sandy system,Carboniferous,icehouse,M,M
808,S-N-x,1400,2,terminal deposit,sandy system,Carboniferous,icehouse,M,S
848,S-N-x,429,4,channel,sandy system,Permian,icehouse,M,M
852,S-N-m,449,4,channel,sandy system,Permian,icehouse,M,S
853,S-N-x,450,4,channel,sandy system,Permian,icehouse,S,S
854,S-N-x,451,4,channel,sandy system,Permian,icehouse,S,S
855,S-N-l,451,4,channel,sandy system,Permian,icehouse,S,S
856,S-N-x,451,4,channel,sandy system,Permian,icehouse,S,S
857,S-N-m,451,4,channel,sandy system,Permian,icehouse,S,S
858,S-N-m,451,4,channel,sandy system,Permian,icehouse,S,S
859,S-N-m,454,4,channel,sandy system,Permian,icehouse,S,M
860,S-N-m,432,4,channel,sandy system,Permian,icehouse,M,M
861,S-N-m,432,4,channel,sandy system,Permian,icehouse,M,S
862,S-N-m,432,4,channel,sandy system,Permian,icehouse,M,M
863,S-F-m,432,4,channel,sandy system,Permian,icehouse,M,M
864,S-N-m,432,4,channel,sandy system,Permian,icehouse,M,M
865,S-N-m,432,4,channel,sandy system,Permian,icehouse,M,S
866,S-N-m,432,4,channel,sandy system,Permian,icehouse,S,S
867,S-N-m,432,4,channel,sandy system,Permian,icehouse,S,S
868,S-N-m,460,4,channel,sandy system,Permian,icehouse,S,S
870,S-N-m,424,4,channel,sandy system,Permian,icehouse,M,S
871,S-N-l,424,4,channel,sandy system,Permian,icehouse,S,M
872,S-N-m,424,4,channel,sandy system,Permian,icehouse,M,M
873,S-N-m,424,4,channel,sandy system,Permian,icehouse,M,S
874,S-N-m,424,4,channel,sandy system,Permian,icehouse,S,S
875,S-N-m,424,4,channel,sandy system,Permian,icehouse,S,M
876,S-N-m,424,4,channel,sandy system,Permian,icehouse,M,S
877,S-N-m,428,4,channel,sandy system,Permian,icehouse,M,S
878,S-N-m,428,4,channel,sandy system,Permian,icehouse,S,S
879,S-N-m,428,4,channel,sandy system,Permian,icehouse,S,S
880,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
881,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
882,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
883,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
884,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
885,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
886,S-N-m,430,4,channel,sandy system,Permian,icehouse,M,S
887,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
888,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
889,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
890,S-N-l,430,4,channel,sandy system,Permian,icehouse,M,S
891,S-N-m,430,4,channel,sandy system,Permian,icehouse,S,S
892,S-N-x,430,4,channel,sandy system,Permian,icehouse,S,S
895,S-N-x,432,4,channel,sandy system,Permian,icehouse,M,M
896,S-N-m,432,4,channel,sandy system,Permian,icehouse,M,M
897,S-N-m,433,4,channel,sandy system,Permian,icehouse,M,S
