"artificial_bed_id","code","code2","bed_thickness","gravel_fraction","heterolithic_fraction","gs_category","combined_trend","lam_category","log_ID","element_ID","subset_ID","case_study_ID","system_ID","element_interpret","element_general_type","element_length","element_length_type","element_width","element_width_type","element_thickness","element_thickness_type","data_type","facies_suit_proportions_type","cs_name","cs_age_from","cs_age_to","sys_name","sys_age_from","sys_age_to","palaeo_lat_range","palaeo_latitude","palaeo_lat_hemisphere","sand_fraction","sys_gs_category","age","epoch","period","era","start_ma","end_ma","climate","vegetation","supercontinent_setting","climate_phases","age_order","period_order","era_order","period_color"
23,"S-N-x","N-x",0.08,0,0,"S","N","x",12,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
24,"S-N-m","N-m",0.08,0,0,"S","N","m",12,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
25,"S-N-m","N-m",0.02,0,0,"S","N","m",13,54,1,1,1,"levee","levee",13000,"apparent",NA,NA,55,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
26,"S-N-m","N-m",0.02,0,0,"S","N","m",13,54,1,1,1,"levee","levee",13000,"apparent",NA,NA,55,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
27,"S-N-m","N-m",0.07,0,0,"S","N","m",13,54,1,1,1,"levee","levee",13000,"apparent",NA,NA,55,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
28,"S-N-m","N-m",0.04,0,0,"S","N","m",13,54,1,1,1,"levee","levee",13000,"apparent",NA,NA,55,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
29,"S-N-m","N-m",0.02,0,0,"S","N","m",13,54,1,1,1,"levee","levee",13000,"apparent",NA,NA,55,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
31,"S-N-l","N-l",0.15,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
32,"S-N-l","N-l",0.07,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
33,"S-N-l","N-l",0.07,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
34,"S-N-l","N-l",0.17,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
35,"S-N-l","N-l",0.06,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
36,"S-N-l","N-l",0.08,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
37,"S-N-l","N-l",0.19,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
38,"S-N-l","N-l",0.09,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
39,"S-N-l","N-l",0.07,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
40,"S-N-l","N-l",0.04,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
41,"S-N-l","N-l",0.02,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
42,"S-N-l","N-l",0.05,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
43,"S-N-l","N-l",0.07,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
44,"S-N-l","N-l",0.1,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
45,"S-N-l","N-l",0.05,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
46,"S-N-l","N-l",0.04,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
47,"S-N-l","N-l",0.05,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
48,"S-N-l","N-l",0.04,0,0,"S","N","l",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
49,"S-N-m","N-m",0.055,0,0,"S","N","m",15,52,1,1,1,"channel","channel",NA,"true (maximum)",1320,"true (maximum)",48,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
50,"S-N-m","N-m",0.16,0,0,"S","N","m",17,42,1,1,1,"gully","channel",NA,"true (maximum)",350,"true (not maximum)",50,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
51,"S-N-m","N-m",0.25,0,0,"S","N","m",17,42,1,1,1,"gully","channel",NA,"true (maximum)",350,"true (not maximum)",50,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
52,"S-N-m","N-m",0.25,0,0,"S","N","m",18,42,1,1,1,"gully","channel",NA,"true (maximum)",350,"true (not maximum)",50,"true (maximum)","high resolution 2D seismic,sonar imaging,bathymetry,core","type,grain size,general structures","Late Pleistocene deposits offshore East Corsica, Golo turbidite system",2,1,"Golo Turbidite System",2,1,"30-45",42.05,"N",1,"sandy system","(Holocene)","Holocene","Quaternary","Cenozoic",0.012,0,"icehouse","Landplants and grass","Dispersed continental setting","Late Cenozoic",109,22,6,"#F9F97F"
